BMQDV href,biGQs,reviewer_name,biGQs 3,biGQs 4,evwcZ,BMQDV href 2,review_title,review,biGQs 5,biGQs 6,NhWcC src,mrcAu src,NhWcC src 2,NhWcC src 3,NhWcC src 4,NhWcC src 5
https://www.tripadvisor.com/ClientLink?value=RUFHXy9Qcm9maWxlL0w0ODZIVWRhd25rX1Zudg%3D%3D,Solo,Dawn K,May 2026 • 4 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060698127-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Best way to see Mostar and Kravice,"This was my best decision.  It was a small group tour - only 7 of us. Best combinaton of professionalism and relaxation.  The owner came ahead of the tour van on his scooter - in case the driver couldn't get close.   The driver/guide, Disco, was fabulous.  He had a great energy and sense of humour and was caring to everyone equally.   He zipped up through the border control and got us to the best access points ahead of the crowds and big buses.  In Mostar he introduced us to a recommended restaurant that would accept credit cards as well as to a shop owner.  All of the advice he provided played out exactly as he described.  The info he gave us enroute was really interesting and fresh - not the usual ""canned"" guide.   I can sincerely recommend this to anyone who dreads the big group idea but can't afford a personal guide.  This was honestly the best combination.",Read more,Read less,,,,,,
https://www.tripadvisor.com/ClientLink?value=VUxHXy9Qcm9maWxlL0xGZzgzX2VJVw%3D%3D,Couples,Singapore,May 2026 • 3 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1058851036-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,This is why you should choose a tour by van,"I highly recommend this small-group (8 pax or less) tour by van as compared to a large group by bus. Firstly, it cuts the time taken to get through border security. Note that EES is implemented at the Croatian side, so multiply 1 min of facial recognition by x-number of tourists and you see how much time is spent at the border. Furthermore, cars and vans use a separate lane from tour buses. Secondly, a smaller vehicle allows travelling on smaller roads, which led us to the waterfall in a third of the time the large buses took. Even though this tour would cost more, it is definitely worth the time saved. Bruno was a wonderful guide and driver, sharing the history of both Croatia and BiH throughout the journey. He made a well-informed decision of visiting the waterfalls first to avoid the crowds. We were very grateful as, within an hour of our arrival at the waterfall, hordes of tour buses (likely compounded by the arrival of cruise ships) with hundreds of tourists decended in the small area. Bruno also provided clear instructions on where to meet and the drive was smooth, despite the bumpy BiH roads. There was also a seemless hotel pickup and drop off by Novak, to meet up with the main van, as we stayed in a hotel at Sombreno. Overall, we couldn’t have asked for anything more from this tour!",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,https://static.tacdn.com/assets/s/522f7ca7.svg,,,,
https://www.tripadvisor.com/ClientLink?value=Q0hSXy9Qcm9maWxlL2Nhcm9sZXQ2MzhfVmVu,Couples,United Kingdom,May 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1058509687-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Kravice waterfalls and Mostar semi private tour,"An excellent day out. The Kravice waterfalls are the prettiest waterfalls I have seen, certainly worth a visit. It was a bit too cold weather wise so although we had our bathers we didn’t go for a swim but definitely take them with you. The water looked very appealing. Mostar was a pretty little village. Mainly gift shops. Had a fabulous traditional lunch on the terrace by the river and went up the minaret of the mosque. Well worth it for the view.I would definitely recommend a semi private tour as this made passing through boarder control so much quicker and easier. We saw passengers from a large tour bus standing in a queue for passport control and then baggage check. Neither queue wasn’t moving very quickly at all.Our driver Marko was brilliant, so knowledgeable having grown up in the area, certainly made the trip. Drove through the local roads so we got to see more of the countryside too. Also we had an early start so we missed all the crowds at the waterfalls.I would recommend the trip. Definitely a semi private tour worth the extra money. Laus travel gets my seal of approval",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,https://static.tacdn.com/assets/s/5c82d9c9.svg,,,,
https://www.tripadvisor.com/ClientLink?value=OUVUXy9Qcm9maWxlL0JhaXJkX0ZhbWlseV9BdGM%3D,Top 1% reviewer,Baird_Family,Apr 2026 • 88 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1057898746-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Highlight of our holiday - Amazing!,"Absolutely amazing experience. Our guide was Bruno who is a credit to the company. Informative, knowledgeable, engaging and friendly. Small group of 7 people enjoyed a fantastic day. Vehicle was spotless with good air con. Quick collections in the morning from 3 hotels. We were early enough to have the waterfalls all to ourselves. Stunning photos before the hoarded of buses and crowds. Mostar was a dream. Lovely food, market, boat ride (additional 10 euro on the river if you want to do this - takes 10 mins), views & people. Prices extremely cheap. No issues with border crossings - straight through with no delays. 10/10 trip and highlight of our holiday. If you have a day that you think “Will I do this or that” - don’t hesitate to book this trip - you won’t regret it",Read more,Couples,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/89/10/b0/baird-family.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/0f/84/cc/caption.jpg?w=100&h=-1&s=1,,,
https://www.tripadvisor.com/ClientLink?value=eGRaXy9Qcm9maWxlLzcwa2F0aGFyaW5lYl96M1k%3D,Families,Katharine B,Apr 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1056151469-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Brilliant trip - really good value,"Amazing day trip! Our guide Disco was really knowledgeable and entertaining, and gave tips of what to do at the locations visited. The waterfall was beautiful though we were sadly not brave/ crazy enough to swim (despite our son's insistence otherwise)! Mostar was stunning too, and we found a restaurant on the river edge serving local wine and beer  :-). We found the war photo museum in our time there, which was a very moving record of horrible recent history - including the destruction of the iconic old bridge. The drive back through the Bosnian mountains, and quick stop in the ""Bosnian Riviera"" was also a highlight. Overall it was a great day, and going as a small group (6 of us plus Disco) made the day really easy and border crossing as painless as possible!",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,
https://www.tripadvisor.com/ClientLink?value=UDFLXy9Qcm9maWxlL0Nvbm5lY3RvcjM2NDI2MV82Ukw%3D,Couples,Connector364261,May 2026 • 3 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1058631871-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Mostar was very pretty and the falls are beautiful.,"Bruno was our Driver, lots of information and History.  He made the journey really interesting and interactive.  There wasn’t anything he didn’t know about the areas we were travelling through.  Even the border crossing was a doddle.   The waterfalls were really quiet when we got there and he even advised us to take the long way round for better photos.  ( which was good advice).  Never felt rushed and felt very well informed in relation to everywhere we visited.  He had even sorted out a three course meal with a local restaurant in Mostar, at a special rate, if we wanted it.  Personally we didn’t eat there as I’m vegetarian and it was very meat based,  and I really don’t have a large enough appetite for three courses.  But from what I heard from the others on our tour it’s delicious.  Being a semi private tour meant there were only six of us.  I can highly recommend",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,
https://www.tripadvisor.com/ClientLink?value=OVBwXy9Qcm9maWxlL2tmYWd1ZTc3Ml9DNjA%3D,Top 1% reviewer,kfague772,May 2026 • 33 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060645342-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Best day trip experience with Matteo!,We had a fantastic trip visiting the Kravica waterfalls and the city of Mostar. Our guide Matteo was so knowledgeable about the culture and history. We learned a lot on our trip and he was both funny and interesting to listen to. His driving was great too. Border crossing was super easy only around 5 minutes or so both ways since we were in a van. Buses take much longer since every person on a bus has to get out and get their face scanned when going through the Croatia Border control. We also started our day very efficiently by getting picked up by a separate driver and meeting the group at close meetup location so that our time wasn’t wasted going to multiple different hotels to get each member of our group. Our day trip to the Herzegovina region of the country with Matteo was one of the highlights of our vacation.  Highly recommend this tour with Matteo!,Read more,Couples,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/45/ad/b0/caption.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/43/31/a0/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/43/31/9f/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/43/31/9e/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/43/31/9d/caption.jpg?w=100&h=-1&s=1
https://www.tripadvisor.com/ClientLink?value=VGNlXy9Qcm9maWxlL21lZ2FubVo2NzE0TkVfSDhC,Top 1% reviewer,Megan M,May 2026 • 11 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060106361-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Marko’s absolutely amazing adventure tour!!,"MARKO! What a man. This guide made our trip to Bosnia and Herzegovina (see Marko we remember) absolutely unforgettable. Our group of 5 girls went to Croatia to celebrate graduating from CU Boulder. We made the best decision when we, drum roll pleaseeee… decided to book this tour. Let me tell you, this excursion was the most fun experience of our lives. Marko’s driving was superb. He made sure we were safe and comfortable throughout the entire trip. We quickly got through border control and started the day at the Kravice, little cow, (see Marko we remember) waterfalls. While driving through BIH we learned about their culture, history, and traditions. Marko recommended places for lunch with clean bathrooms (see Marko we remember). He even stopped to jump someone (good job Marko). Marko was an absolute gem. He told us which places were the best and gave us amazing tips and tricks to walk around the waterfalls/city. I would be lying if I said that Marko didn’t make a lasting impact on all 5 of our lives. Thank you Marko for making this experience unforgettable and I hope that Donald Jamal is doing well!",Read more,Friends,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/38/37/09/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/38/37/08/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/38/37/07/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/38/37/06/caption.jpg?w=100&h=-1&s=1
https://www.tripadvisor.com/ClientLink?value=Q2pjXy9Qcm9maWxlL082OTA5TFlhbXl0X2Y4eQ%3D%3D,Couples,Amy T,Apr 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1057831950-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Fantastic Day Trip to Mostar & Waterfalls – A Must Do,"We had an amazing day trip from Dubrovnik to the waterfalls and Mostar — definitely one of the highlights of our holiday!Our guide, Disco, was fantastic. He was really knowledgeable, friendly, and made the whole experience feel relaxed and enjoyable. The day was paced perfectly, with plenty of time to take everything in without feeling rushed, and he looked after the group throughout.The waterfalls were absolutely beautiful — such a peaceful spot and well worth the visit. The drive itself was also incredibly scenic, so even the journey felt like part of the experience.Mostar is a must-see. It’s such a unique and historic place, and we’re so glad we made the trip over from Dubrovnik. I’d highly recommend this tour to anyone visiting the area!",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/0e/1f/1e/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/0e/1f/1d/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/0e/1f/1c/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/0e/1f/1b/caption.jpg?w=200&h=-1&s=1
https://www.tripadvisor.com/ClientLink?value=ZGhiXy9Qcm9maWxlL1Bhc3Nwb3J0NTE1MTIzX2lMcA%3D%3D,Couples,Passport515123,Apr 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1056152067-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,"Self-guided, without the stress of driving!","This trip was excellent, highly recommend. Marko, our tour guide, was amazing - he helped in making the excursion what it was. Extremely informative (these are his childhood stomping grounds!), engaging, and respectful. He got us thru the border quickly, & to the waterfalls before the crowds of busses arrived. Gave us excellent advice, and then allowed us to wander on our own. Same in Mostar, armed us with information and we explored on our own. Loved it!! He made the drive seem shorter by sharing stories about the area. 10/10 Sign up!!!!",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,
https://www.tripadvisor.com/ClientLink?value=ZVZWXy9Qcm9maWxlL2x1a2VCOTk3N19mWFQ%3D,Couples,Luke B,Apr 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1055984262-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Great experience,"Miodrag was great from start to finish. Made the trip very enjoyable with lots of stories. Very enthusiastic. Made crossing the border a breeze. Overall a very fun day out with great food, company, history & architecture ????",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/e8/9f/0e/caption.jpg?w=200&h=-1&s=1,,,
https://www.tripadvisor.com/ClientLink?value=dllNXy9Qcm9maWxlL1RvbTEyMzRDX1NncA%3D%3D,Couples,United States,Apr 2026 • 5 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1055845711-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Excellent day and two beautiful sites,"What a great trip.  Our tour guide Bruno was so experienced and knew how to navigate our trip so we had the most time at the sites.  We got through border patrol so quickly and made it to the Waterfalls before anyone.  We had the place to ourselves.  Then on to Mostar.   It was very pretty and Bruno’s recommendation for lunch was great.  While in the van he educated us on the region, the history and the current events.  What a great trip.",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://static.tacdn.com/assets/s/6cf43dc4.svg,,,,
https://www.tripadvisor.com/ClientLink?value=N1hhXy9Qcm9maWxlL0FxdWFfYmx1ZTIyX3pPSw%3D%3D,Families,Yueny P,Feb 2026 • 2 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1051212879-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Great tour - definitely recommend,"Edi was our guide and he was fantastic: incredibly knowledgeable, cheerful, and always made an effort to include everyone in the group. We first visited the beautiful Kravice Waterfalls, which were absolutely stunning and well worth the trip.We then crossed into Bosnia and Herzegovina, where Edi took us to a local restaurant for lunch. The meal was really good value, with soup, salad and a main course included. Afterwards, we had free time to explore Mostar at our own pace – such a beautiful and charming city to wander around.Edi truly made the day special. He was warm, engaging and thoughtful throughout, and even surprised us with a small gift at the end of the tour. A brilliant experience from start to finish!",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/8d/42/de/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/8d/42/dd/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/8d/42/dc/caption.jpg?w=200&h=-1&s=1,
https://www.tripadvisor.com/ClientLink?value=Z3pxXy9Qcm9maWxlL3NoZWxsZXlzbGJfSzhy,Top 1% reviewer,Shelley B,May 2026 • 14 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060992395-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Brilliant tour,"Absolutely amazing day. From the time we were picked up to the time that we were dropped off our tour leader Miodrag was super helpful, friendly and extremely informative.  He gave us historical information  on Croatia as we were leaving Dubrovnik and the same for Bosnia as we were entering. He also pointed out points of interest along the way. Miodrag went above the call of duty and arranged for an item that I had left in a cafe in Mostar to be picked up and dropped back at our hotel. Thank you!!The waterfalls were breathtaking and so glad that we were there early to beat the crowds.Mostar was a charming town with plenty to see and do. The perfect place for lunch.",Read more,Couples,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/49/e2/c6/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/49/e2/c5/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/49/e2/c4/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/49/e2/c3/caption.jpg?w=100&h=-1&s=1
https://www.tripadvisor.com/ClientLink?value=NHF6Xy9Qcm9maWxlL0IxNTgzVFhwYXRyaWNraF9uUEI%3D,Top 1% reviewer,United States,May 2026 • 33 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060873733-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Excellent trip to Kravice Waterfalls and Mostar,"Matteo was a wonderful guide along the way to  Kravice and Mostar. He was friendly, knowledgeable, and a great guide. The waterfalls were beautiful and the of Mostar is a must see. Matteo shared a wealth of information along the way and entertained a wide variety of questions. Conversation was easy. There were six people on our trip, which is the perfect size for a little adventure like this. Highly recommend!",Read more,Couples,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,https://static.tacdn.com/assets/s/6cf43dc4.svg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/47/52/60/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/47/52/5f/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/47/52/5e/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/47/52/5d/caption.jpg?w=100&h=-1&s=1
https://www.tripadvisor.com/ClientLink?value=QkNMXy9Qcm9maWxlLzI5Mm5hdGFsaWVtX0xTWg%3D%3D,Families,Natalie S,May 2026 • 4 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1059450170-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Excellent tour!,"We had a wonderful trip with our amazing tour guide, Disco! The drive was beautiful. The waterfalls were worth the visit! Mostar was such a cool city, very friendly people, good food and shopping. Disco made our experience 5 stars! He was full of history knowledge, very funny and easy going! Highly recommend!",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/2a/82/e4/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/2a/82/e3/caption.jpg?w=200&h=-1&s=1,,
https://www.tripadvisor.com/ClientLink?value=SjVBXy9Qcm9maWxlLzc3ZXZhbmNfdkpq,Top 1% reviewer,Ireland,May 2026 • 23 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1059304266-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Fantastic Day,"We had an amazing day trip from Dubrovnik. Our guide, Bruno was great! He navigated a quiet border crossing to save time and got us to Kravice Waterfalls so early that we literally had the place to ourselves. When we were leaving it was starting to get busy.We spent 3 hours in Mostar, which was the perfect amount of time to explore. Throughout the day, Bruno shared some really great insights into the history of both Croatia and Bosnia. He’s a lovely guy and made the trip feel personal and easy.Highly recommend this tour.",Read more,Couples,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/1b/39/2e/caption.jpg?w=100&h=-1&s=1,https://static.tacdn.com/assets/s/55f12fae.svg,,,,
https://www.tripadvisor.com/ClientLink?value=UER3Xy9Qcm9maWxlL1RyYXZlbDI1MDkwMjMwNTgxXzRteA%3D%3D,Couples,Travel25090230581,Apr 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1057684876-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Efficient and well run tour.,Very efficient and well run tour. Disco the guide was very informative and had a good sense of humour. We crossed the border with ease  due to the small group of around 8 and had a lovely time at Mostar and the waterfalls. We left out accommodation around 7AM and were back around 4:30PM.,Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,
https://www.tripadvisor.com/ClientLink?value=aFhPXy9Qcm9maWxlLzgyNmx1a2VlX0pKNQ%3D%3D,Couples,LUKE E,May 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060991668-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Great trip great guide/host,From the start to the end Miodrag was great. Arriving early friendly and very informative on the long drive with details of the history. Gave good tips and hints at each venue and even went above and beyond getting a mislaid item picked up and returned to us the next day. Can’t recommend enough supper guide and host,Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,,,,
https://www.tripadvisor.com/ClientLink?value=cFhlXy9Qcm9maWxlL0s5ODUzT1duaWNob2xhc2ZfbW1Z,Couples,Nicholas F,May 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060447999-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Can’t recommend enough!,"We loved our day trip from Dubrovnik to Bosnia. Miodrag was an incredible guide and was very knowledgeable on the entire Balkan region, presenting a good balance of history, culture, and personal anecdotes. He also timed the tour perfectly so that we had very little wait at both border crossings and had just enough time at Kravice Falls and in Mostar. This was a great value!",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/3f/98/08/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/3f/98/07/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/3f/98/03/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/3f/98/01/caption.jpg?w=200&h=-1&s=1
